Profiling shortest path
=======================

         96411 function calls (95354 primitive calls) in 4.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.464    4.464 {built-in method builtins.exec}
        1    0.017    0.017    4.464    4.464 <string>:1(<module>)
     1000    4.035    0.004    4.411    0.004 __init__.py:1117(shortest_distance)
     1000    0.003    0.000    0.277    0.000 decorators.py:1(copy_property)
2000/1000    0.007    0.000    0.274    0.000 decorators.py:126(wrapper)
     1000    0.171    0.000    0.264    0.000 __init__.py:2206(copy_property)
     2000    0.027    0.000    0.089    0.000 __init__.py:2147(new_vertex_property)
     2000    0.012    0.000    0.044    0.000 __init__.py:458(__init__)
     1000    0.001    0.000    0.035    0.000 __init__.py:2132(new_property)
     4000    0.010    0.000    0.030    0.000 __init__.py:183(_type_alias)
     9000    0.022    0.000    0.025    0.000 __init__.py:146(_prop)
     1000    0.016    0.000    0.023    0.000 __init__.py:2549(clear_filters)
     4000    0.020    0.000    0.020    0.000 __init__.py:2856(value_types)
     2000    0.004    0.000    0.020    0.000 __init__.py:245(_converter)
     1000    0.019    0.000    0.019    0.000 __init__.py:1741(vertex)
    14000    0.008    0.000    0.018    0.000 {built-in method builtins.isinstance}
     1000    0.016    0.000    0.016    0.000 {built-in method numpy.core.multiarray.array}
     2000    0.003    0.000    0.016    0.000 __init__.py:506(__del__)
     2000    0.003    0.000    0.015    0.000 __init__.py:206(_python_type)
     2000    0.011    0.000    0.013    0.000 __init__.py:501(__unregister_map)
     1000    0.008    0.000    0.012    0.000 __init__.py:2518(set_edge_filter)
     1000    0.006    0.000    0.010    0.000 abc.py:178(__instancecheck__)
     1000    0.006    0.000    0.008    0.000 __init__.py:2485(set_vertex_filter)
     2000    0.006    0.000    0.007    0.000 __init__.py:496(__register_map)
     3000    0.005    0.000    0.005    0.000 __init__.py:610(value_type)
     2022    0.003    0.000    0.003    0.000 _weakrefset.py:70(__contains__)
     2000    0.003    0.000    0.003    0.000 __init__.py:2434(set_directed)
     1000    0.002    0.000    0.003    0.000 __init__.py:952(_check_prop_scalar)
     1000    0.001    0.000    0.002    0.000 __init__.py:946(_check_prop_writable)
     2000    0.002    0.000    0.002    0.000 __init__.py:2647(num_vertices)
     3000    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     6000    0.002    0.000    0.002    0.000 {built-in method builtins.id}
